disease_group,disease_category,disease,gwas_id,protein,mr_method,snps,odds_ratio,ci_lower,ci_upper,pvalue
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,EFNA1,Inverse variance weighted,6,1.304329926,1.152332826,1.476376024,2.63e-05
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,EFNA1,Inverse variance weighted (multiplicative random effects),6,1.304329926,1.152332826,1.476376024,2.63e-05
Neurological and psychiatric diseases,Psychiatric Disorders,Bipolar disorder,ebi-a-GCST003724,ACY1,Inverse variance weighted,2,0.587108704,0.378127663,0.911587973,0.017674611
Neurological and psychiatric diseases,Psychiatric Disorders,Bipolar disorder,ebi-a-GCST003724,ACY1,Inverse variance weighted (fixed effects),2,0.587108704,0.378127663,0.911587973,0.017674611
Neurological and psychiatric diseases,Psychiatric Disorders,Bipolar disorder,ebi-a-GCST003724,ACY1,Inverse variance weighted (multiplicative random effects),2,0.587108704,0.40974091,0.841255098,0.003708444
Neurological and psychiatric diseases,Psychiatric Disorders,Depression,ebi-a-GCST90018833,ACY1,Inverse variance weighted,2,1.377850007,1.018884385,1.863283677,0.037388892
Neurological and psychiatric diseases,Psychiatric Disorders,Depression,ebi-a-GCST90018833,ACY1,Inverse variance weighted (fixed effects),2,1.377850007,1.018884385,1.863283677,0.037388892
Neurological and psychiatric diseases,Psychiatric Disorders,Depression,ebi-a-GCST90018833,ACY1,Inverse variance weighted (multiplicative random effects),2,1.377850007,1.177064539,1.612885768,6.64e-05
Cardiovascular diseases,Stroke,Ischemic stroke (large artery atherosclerosis),ebi-a-GCST005840,ACY1,Wald ratio,1,0.300948608,0.105776065,0.856243469,0.024390446
Cardiovascular diseases,Stroke,Ischemic stroke (large artery atherosclerosis),ebi-a-GCST006907,ACY1,Wald ratio,1,0.257097522,0.081738318,0.808667683,0.020166675
Cardiovascular diseases,Heart Failure,All-cause Heart Failure,finn-b-I9_HEARTFAIL_ALLCAUSE,ADAM22,Inverse variance weighted,26,0.943426516,0.903296962,0.985338851,0.008639783
Cardiovascular diseases,Heart Failure,All-cause Heart Failure,finn-b-I9_HEARTFAIL_ALLCAUSE,ADAM22,Inverse variance weighted (fixed effects),26,0.943426516,0.906024143,0.982372929,0.004777262
Cardiovascular diseases,Heart Failure,All-cause Heart Failure,finn-b-I9_HEARTFAIL_ALLCAUSE,ADAM22,Inverse variance weighted (multiplicative random effects),26,0.943426516,0.903296962,0.985338851,0.008639783
Cardiovascular diseases,Arrhythmias,Atrial fibrillation and flutter,finn-b-I9_AF,ADAM22,Inverse variance weighted,26,0.940112883,0.890999175,0.991933841,0.024080591
Cardiovascular diseases,Arrhythmias,Atrial fibrillation and flutter,finn-b-I9_AF,ADAM22,Inverse variance weighted (fixed effects),26,0.940112883,0.890999175,0.991933841,0.024080591
Cardiovascular diseases,Arrhythmias,Atrial fibrillation and flutter,finn-b-I9_AF,ADAM22,Inverse variance weighted (multiplicative random effects),26,0.940112883,0.905683859,0.975850707,0.00117776
Cardiovascular diseases,Arrhythmias,Cardiac arrhytmias,finn-b-CARDIAC_ARRHYTM,ADAM22,Inverse variance weighted,26,0.957009946,0.920522622,0.99494354,0.02671879
Cardiovascular diseases,Arrhythmias,Cardiac arrhytmias,finn-b-CARDIAC_ARRHYTM,ADAM22,Inverse variance weighted (fixed effects),26,0.957009946,0.920522622,0.99494354,0.02671879
Cardiovascular diseases,Arrhythmias,Cardiac arrhytmias,finn-b-CARDIAC_ARRHYTM,ADAM22,Inverse variance weighted (multiplicative random effects),26,0.957009946,0.922404715,0.992913437,0.019362636
Cardiovascular diseases,Heart Failure,"Heart failure, not strict",finn-b-I9_HEARTFAIL_NS,ADAM22,Inverse variance weighted,26,0.944500602,0.904905078,0.985828688,0.008969672
Cardiovascular diseases,Heart Failure,"Heart failure, not strict",finn-b-I9_HEARTFAIL_NS,ADAM22,Inverse variance weighted (fixed effects),26,0.944500602,0.907187337,0.983348587,0.005494513
Cardiovascular diseases,Heart Failure,"Heart failure, not strict",finn-b-I9_HEARTFAIL_NS,ADAM22,Inverse variance weighted (multiplicative random effects),26,0.944500602,0.904905078,0.985828688,0.008969672
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,ADAM22,Inverse variance weighted,26,1.001527499,1.000452858,1.002603294,0.005326686
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,ADAM22,Inverse variance weighted (fixed effects),26,1.001527499,1.000452858,1.002603294,0.005326686
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST90038610,ADAM22,Inverse variance weighted (multiplicative random effects),26,1.001527499,1.00045374,1.00260241,0.00528918
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011364,ADAM22,Inverse variance weighted,27,1.050774944,1.009623814,1.093603348,0.015103073
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011364,ADAM22,Inverse variance weighted (fixed effects),27,1.050774944,1.011273686,1.091819157,0.011294812
Cardiovascular diseases,Coronary Artery Diseases,Myocardial infarction,ebi-a-GCST011364,ADAM22,Inverse variance weighted (multiplicative random effects),27,1.050774944,1.009623814,1.093603348,0.015103073
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,GFRA3,Inverse variance weighted (multiplicative random effects),2,0.564117077,0.453621477,0.701527798,2.64e-07
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,IGSF8,Inverse variance weighted (multiplicative random effects),2,0.677947837,0.584323654,0.786573103,2.96e-07
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,CD4,Inverse variance weighted (multiplicative random effects),7,1.185421259,1.109538396,1.266493855,4.66e-07
Neurological and psychiatric diseases,Neurodegenerative Diseases,"Alzheimer<c3><95>s disease, wide definition",finn-b-G6_AD_WIDE,CCL15,Inverse variance weighted (multiplicative random effects),13,0.893082511,0.854069565,0.933877525,6.98e-07
Neurological and psychiatric diseases,Neurodegenerative Diseases,Alzheimer's disease,ebi-a-GCST90027158,MFGE8,Inverse variance weighted (multiplicative random effects),6,1.055393504,1.033111364,1.078156224,7.34e-07
Neurological and psychiatric diseases,Psychiatric Disorders,Bipolar disorder,ebi-a-GCST003724,ADAM22,Inverse variance weighted,28,0.921207743,0.850489788,0.997805874,0.04401997
Neurological and psychiatric diseases,Psychiatric Disorders,Bipolar disorder,ebi-a-GCST003724,ADAM22,Inverse variance weighted (fixed effects),28,0.921207743,0.850489788,0.997805874,0.04401997
Neurological and psychiatric diseases,Psychiatric Disorders,Bipolar disorder,ebi-a-GCST003724,ADAM22,Inverse variance weighted (multiplicative random effects),28,0.921207743,0.852810403,0.995090707,0.03706651
Neurological and psychiatric diseases,Psychiatric Disorders,bipolar disorder,ieu-b-41,ADAM22,Inverse variance weighted,27,0.93042706,0.879948559,0.983801274,0.011281714
Neurological and psychiatric diseases,Psychiatric Disorders,bipolar disorder,ieu-b-41,ADAM22,Inverse variance weighted (fixed effects),27,0.93042706,0.879948559,0.983801274,0.011281714
Neurological and psychiatric diseases,Psychiatric Disorders,bipolar disorder,ieu-b-41,ADAM22,Inverse variance weighted (multiplicative random effects),27,0.93042706,0.886420937,0.976617854,0.003532995
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia due to Parkinsons disease,finn-b-PD_DEMENTIA,ADAM22,Inverse variance weighted,26,0.696770531,0.508638009,0.954488584,0.024443432
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia due to Parkinsons disease,finn-b-PD_DEMENTIA,ADAM22,Inverse variance weighted (fixed effects),26,0.696770531,0.508638009,0.954488584,0.024443432
Neurological and psychiatric diseases,Neurodegenerative Diseases,Dementia due to Parkinsons disease,finn-b-PD_DEMENTIA,ADAM22,Inverse variance weighted (multiplicative random effects),26,0.696770531,0.569596344,0.852338991,0.000441609
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ebi-a-GCST90018894,ADAM22,Inverse variance weighted,29,1.10818796,1.006529868,1.220113377,0.036386283
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ebi-a-GCST90018894,ADAM22,Inverse variance weighted (fixed effects),29,1.10818796,1.008335616,1.217928373,0.032981638
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ebi-a-GCST90018894,ADAM22,Inverse variance weighted (multiplicative random effects),29,1.10818796,1.006529868,1.220113377,0.036386283
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,GGH,Inverse variance weighted,16,1.165385615,1.069163224,1.270267815,0.000499453
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,GGH,Inverse variance weighted (fixed effects),16,1.165385615,1.069163224,1.270267815,0.000499453
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,GUSB,Inverse variance weighted (fixed effects),5,0.702893249,0.574135586,0.860526558,0.000637713
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,IL1R2,Inverse variance weighted (multiplicative random effects),15,1.143512429,1.053009378,1.241793949,0.001433413
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,LGALS3,Inverse variance weighted (fixed effects),27,1.141002876,1.050664558,1.23910867,0.001722146
Neurological and psychiatric diseases,Dementia,Vascular dementia (F5_VASCDEM),finn-b-F5_VASCDEM,ADAM22,Inverse variance weighted,26,0.819831238,0.675521876,0.994968901,0.044319138
Neurological and psychiatric diseases,Dementia,Vascular dementia (F5_VASCDEM),finn-b-F5_VASCDEM,ADAM22,Inverse variance weighted (fixed effects),26,0.819831238,0.685968343,0.97981673,0.028949033
Neurological and psychiatric diseases,Dementia,Vascular dementia (F5_VASCDEM),finn-b-F5_VASCDEM,ADAM22,Inverse variance weighted (multiplicative random effects),26,0.819831238,0.675521876,0.994968901,0.044319138
Cardiovascular diseases,Coronary Artery Diseases,Coronary atherosclerosis,finn-b-I9_CORATHER,ADAMTS13,Inverse variance weighted,12,0.912651805,0.842590768,0.988538387,0.024904546
Cardiovascular diseases,Coronary Artery Diseases,Coronary atherosclerosis,finn-b-I9_CORATHER,ADAMTS13,Inverse variance weighted (fixed effects),12,0.912651805,0.86251058,0.965707943,0.001522681
Cardiovascular diseases,Coronary Artery Diseases,Coronary atherosclerosis,finn-b-I9_CORATHER,ADAMTS13,Inverse variance weighted (multiplicative random effects),12,0.912651805,0.842590768,0.988538387,0.024904546
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,ADAMTS13,Inverse variance weighted,12,0.938928395,0.883647859,0.997667251,0.041806974
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,ADAMTS13,Inverse variance weighted (fixed effects),12,0.938928395,0.898034792,0.98168416,0.005543238
Cardiovascular diseases,Hypertension,"Hypertension, essential",finn-b-I9_HYPTENSESS,ADAMTS13,Inverse variance weighted (multiplicative random effects),12,0.938928395,0.883647859,0.997667251,0.041806974
Cardiovascular diseases,Coronary Artery Diseases,"Ischaemic heart disease, wide definition",finn-b-I9_IHD,ADAMTS13,Inverse variance weighted,12,0.915149473,0.856726738,0.977556228,0.008427911
Cardiovascular diseases,Coronary Artery Diseases,"Ischaemic heart disease, wide definition",finn-b-I9_IHD,ADAMTS13,Inverse variance weighted (fixed effects),12,0.915149473,0.870785034,0.961774175,0.000469984
Cardiovascular diseases,Coronary Artery Diseases,"Ischaemic heart disease, wide definition",finn-b-I9_IHD,ADAMTS13,Inverse variance weighted (multiplicative random effects),12,0.915149473,0.856726738,0.977556228,0.008427911
Cardiovascular diseases,Coronary Artery Diseases,Ischemic heart diseases,finn-b-I9_ISCHHEART,ADAMTS13,Inverse variance weighted,12,0.922342411,0.864576322,0.983968102,0.014294567
Cardiovascular diseases,Coronary Artery Diseases,Ischemic heart diseases,finn-b-I9_ISCHHEART,ADAMTS13,Inverse variance weighted (fixed effects),12,0.922342411,0.87750001,0.969476369,0.001477436
Cardiovascular diseases,Coronary Artery Diseases,Ischemic heart diseases,finn-b-I9_ISCHHEART,ADAMTS13,Inverse variance weighted (multiplicative random effects),12,0.922342411,0.864576322,0.983968102,0.014294567
Neurological and psychiatric diseases,Psychiatric Disorders,Major depressive disorder (ICD-10 coded),ebi-a-GCST005903,ADAMTS13,Inverse variance weighted,10,0.996262832,0.992997225,0.999539177,0.02540675
Neurological and psychiatric diseases,Psychiatric Disorders,Major depressive disorder (ICD-10 coded),ebi-a-GCST005903,ADAMTS13,Inverse variance weighted (fixed effects),10,0.996262832,0.993062589,0.999473387,0.022555041
Neurological and psychiatric diseases,Psychiatric Disorders,Major depressive disorder (ICD-10 coded),ebi-a-GCST005903,ADAMTS13,Inverse variance weighted (multiplicative random effects),10,0.996262832,0.992997225,0.999539177,0.02540675
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,PI3,Inverse variance weighted (multiplicative random effects),5,0.871901294,0.800037382,0.950220431,0.001787248
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,GUSB,Inverse variance weighted,5,0.702893249,0.556212827,0.888255171,0.003154129
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,GUSB,Inverse variance weighted (multiplicative random effects),5,0.702893249,0.556212827,0.888255171,0.003154129
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,IL1R2,Inverse variance weighted,15,1.143512429,1.045419052,1.250810066,0.003381999
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,IL1R2,Inverse variance weighted (fixed effects),15,1.143512429,1.045419052,1.250810066,0.003381999
Cardiovascular diseases,Heart Failure,"Heart failure,strict",finn-b-I9_HEARTFAIL,ADAMTS15,Inverse variance weighted,3,0.751150412,0.597227662,0.944743484,0.014450948
Cardiovascular diseases,Heart Failure,"Heart failure,strict",finn-b-I9_HEARTFAIL,ADAMTS15,Inverse variance weighted (fixed effects),3,0.751150412,0.597227662,0.944743484,0.014450948
Cardiovascular diseases,Heart Failure,"Heart failure,strict",finn-b-I9_HEARTFAIL,ADAMTS15,Inverse variance weighted (multiplicative random effects),3,0.751150412,0.653252766,0.863719178,5.91e-05
Neurological and psychiatric diseases,Psychiatric Disorders,Major depression,ieu-b-102,ADAMTS15,Inverse variance weighted,3,0.906748869,0.847315655,0.970350904,0.004652249
Neurological and psychiatric diseases,Psychiatric Disorders,Major depression,ieu-b-102,ADAMTS15,Inverse variance weighted (fixed effects),3,0.906748869,0.847315655,0.970350904,0.004652249
Neurological and psychiatric diseases,Psychiatric Disorders,Major depression,ieu-b-102,ADAMTS15,Inverse variance weighted (multiplicative random effects),3,0.906748869,0.861702792,0.95414976,0.000166315
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,LGALS3,Inverse variance weighted,27,1.141002876,1.043240756,1.247926287,0.003898448
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,LGALS3,Inverse variance weighted (multiplicative random effects),27,1.141002876,1.043240756,1.247926287,0.003898448
Neurological and psychiatric diseases,Neurodegenerative Diseases,Parkinson's disease,ieu-b-7,SNCG,Inverse variance weighted (multiplicative random effects),21,1.0847839,1.02634953,1.146545183,0.003969071
