model,mri_category,mri_trait,protein,n,beta,pvalue
Primary analysis,Right ventricle,RV end diastolic volume,THY1;Thy-1 membrane glycoprotein,4904,-0.128930469329903,1.25328116404107e-19
Primary analysis,Right ventricle,RV end systolic volume,PTGDS;Prostaglandin-H2 D-isomerase,4821,-0.12978653705399,1.46310744462086e-19
Primary analysis,Right atrium,RA minimum volume,RTN4R;Reticulon-4 receptor,4795,-0.130033099356017,1.56210862447023e-19
Primary analysis,Right ventricle,RV end diastolic volume,PRSS8;Prostasin,4826,-0.129089750192184,2.1931468996042e-19
Primary analysis,Left ventricle,LV end diastolic volume,HNMT;Histamine N-methyltransferase,4813,-0.128823778044137,2.90287479398626e-19
Primary analysis,Left ventricle,LV end diastolic volume,PRAP1;Proline-rich acidic protein 1,3449,-0.151500628811215,3.69220363286733e-19
Primary analysis,Right atrium,RA maximum volume,ASGR1;Asialoglycoprotein receptor 1,4745,-0.12924858995441,3.95123022280021e-19
Primary analysis,Right atrium,RA maximum volume,HGF;Hepatocyte growth factor,4821,-0.128177877520168,4.09409077808722e-19
Primary analysis,Right ventricle,RV end diastolic volume,LDLR;Low-density lipoprotein receptor,4866,-0.127490463819843,4.35813812363587e-19
Primary analysis,Right atrium,RA maximum volume,LDLR;Low-density lipoprotein receptor,4782,-0.128581483393819,4.40022430851777e-19
Primary analysis,Right ventricle,RV end diastolic volume,CALB2;Calretinin,4751,-0.128955776267445,4.51612221911816e-19
Primary analysis,Right ventricle,RV end systolic volume,TAFA5;Chemokine-like protein TAFA-5,4831,-0.12762616829741,5.34593892551956e-19
Primary analysis,Left ventricle,LV cardiac output,IGFBP6;Insulin-like growth factor-binding protein 6,4836,-0.127523524229585,5.47344634486843e-19
Primary analysis,Right ventricle,RV end diastolic volume,HGF;Hepatocyte growth factor,4905,-0.126526808520901,5.84699712039142e-19
Primary analysis,Right ventricle,RV end systolic volume,IL1RN;Interleukin-1 receptor antagonist protein,4831,-0.127148643842694,7.23255343252041e-19
Primary analysis,Right ventricle,RV stroke volume,ADM;Pro-adrenomedullin,4890,-0.126340239251139,7.44153638211654e-19
Primary analysis,Right atrium,RA maximum volume,AGRN;Agrin,4777,-0.127764473750052,7.67869203817633e-19
Primary analysis,Right ventricle,RV end diastolic volume,SEZ6L;Seizure 6-like protein,4872,-0.126502178466542,7.77662817557079e-19
Primary analysis,Left ventricle,LV end diastolic volume,AFM;Afamin,3442,-0.150228010066159,7.94510378634415e-19
Primary analysis,Right atrium,RA minimum volume,BTN2A1;Butyrophilin subfamily 2 member A1,4768,-0.0862040501587252,2.49184088452965e-09
Primary analysis,Left ventricle,LV end diastolic volume,SCARB2;Lysosome membrane protein 2,4722,-0.128287623489443,8.76989849462496e-19
Primary analysis,Right atrium,RA stroke volume,PRSS8;Prostasin,4753,-0.127732913642152,9.56512483006964e-19
Primary analysis,Right atrium,RA maximum volume,PLAT;Tissue-type plasminogen activator,4819,-0.126799734739897,9.9461242824671e-19
Primary analysis,Right atrium,RA maximum volume,F7;Coagulation factor VII,4773,-0.127250029869204,1.09554748038425e-18
Primary analysis,Right ventricle,RV end diastolic volume,COL6A3;Collagen alpha-3(VI) chain,4917,-0.12536571423125,1.1103189065113e-18
Primary analysis,Right ventricle,RV end systolic volume,SCARB2;Lysosome membrane protein 2,4723,-0.127765850886691,1.20314364869523e-18
Primary analysis,Right atrium,RA maximum volume,CPM;Carboxypeptidase M,4803,-0.126381343008454,1.47335158621227e-18
Primary analysis,Right ventricle,RV stroke volume,BTN2A1;Butyrophilin subfamily 2 member A1,4861,-0.0817249451047564,1.15651530368632e-08
Primary analysis,Left ventricle,LV end diastolic volume,CFH;Complement factor H,3245,-0.1531123265438,1.77989028459739e-18
Primary analysis,Right atrium,RA minimum volume,"FABP4;Fatty acid-binding protein, adipocyte",4823,-0.125801616386054,1.79873990801769e-18
Primary analysis,Right atrium,RA maximum volume,CST3;Cystatin-C,4776,-0.12632525536498,1.90117377752957e-18
Primary analysis,Left ventricle,LV end systolic volume,IGSF9;Protein turtle homolog A,3446,-0.148211330361623,2.21872660867892e-18
Primary analysis,Right ventricle,RV end diastolic volume,EFNA4;Ephrin-A4,4823,-0.125416465281765,2.28655937250782e-18
Primary analysis,Left ventricle,LV mean myocardial wall thickness AHA 1,REN;Renin,4864,-0.124585754443593,2.76562917822088e-18
Primary analysis,Descending aorta,Descending aorta minimum area,CLMP;CXADR-like membrane protein,4605,-0.12791231803214,2.94355700491883e-18
Primary analysis,Left ventricle,LV end diastolic volume,GSTA3;Glutathione S-transferase A3,4754,-0.125689287949495,3.36542089368706e-18
Primary analysis,Left ventricle,LV myocardial mass,PALM;Paralemmin-1,3396,-0.148299422877342,3.71898352220364e-18
Primary analysis,Right ventricle,RV end systolic volume,FSTL3;Follistatin-related protein 3,4828,-0.124492040399638,3.89782101133441e-18
Primary analysis,Descending aorta,Descending aorta minimum area,CRLF1;Cytokine receptor-like factor 1,4579,-0.127634694385332,4.32327422469936e-18
Primary analysis,Ascending aorta,Ascending aorta minimum area,ADAMTS15;A disintegrin and metalloproteinase with thrombospondin motifs 15,4553,-0.127972918898953,4.38304149494007e-18
Primary analysis,Right ventricle,RV end diastolic volume,ADH4;All-trans-retinol dehydrogenase [NAD(+)] ADH4,4765,-0.125113197715792,4.38816392845076e-18
Primary analysis,Left ventricle,LV myocardial mass,CLEC4A;C-type lectin domain family 4 member A,4851,0.123897856720705,4.69535454347463e-18
Primary analysis,Right ventricle,RV end diastolic volume,IGFBP2;Insulin-like growth factor-binding protein 2,4910,0.123151674028572,4.70958130521664e-18
Primary analysis,Right atrium,RA minimum volume,NTproBNP;N-terminal prohormone of brain natriuretic peptide,4777,0.124283390333397,6.62869427858882e-18
Primary analysis,Right ventricle,RV stroke volume,PLAT;Tissue-type plasminogen activator,4904,-0.122642704039804,6.76259328317436e-18
Primary analysis,Right ventricle,RV stroke volume,SCG2;Secretogranin-2,4880,-0.122941261628563,6.76476609977374e-18
Primary analysis,Right ventricle,RV end diastolic volume,SCG2;Secretogranin-2,4880,-0.122836311165898,7.21698528564243e-18
Primary analysis,Left ventricle,LV mean myocardial wall thickness AHA 4,REN;Renin,4864,-0.12302292966158,7.27860338750263e-18
Primary analysis,Right ventricle,RV stroke volume,CST3;Cystatin-C,4859,-0.123039832170701,7.48706520266115e-18
Primary analysis,Left ventricle,LV end diastolic volume,GHR;Growth hormone receptor,3375,-0.147271194078853,8.01050188985734e-18
Primary analysis,Right ventricle,RV end diastolic volume,PRAP1;Proline-rich acidic protein 1,3451,-0.145555586666358,8.44347113376255e-18
Primary analysis,Right ventricle,RV end diastolic volume,RARRES2;Retinoic acid receptor responder protein 2,4869,-0.12268512785215,8.61985985177558e-18
Primary analysis,Right ventricle,RV end diastolic volume,PRND;Prion-like protein doppel,3442,-0.145528642890616,9.44034318456469e-18
Primary analysis,Right atrium,RA maximum volume,IGFBP6;Insulin-like growth factor-binding protein 6,4755,-0.123917289307681,9.84625295202639e-18
Primary analysis,Left atrium,LA ejection fraction,NTproBNP;N-terminal prohormone of brain natriuretic peptide,4782,-0.123514973476496,1.01777558043935e-17
Primary analysis,Right ventricle,RV stroke volume,PTGDS;Prostaglandin-H2 D-isomerase,4822,-0.122982529920261,1.03197972555005e-17
Primary analysis,Right atrium,RA maximum volume,IGFBP1;Insulin-like growth factor-binding protein 1,4826,0.122179603668859,1.63070672056002e-17
Primary analysis,Right ventricle,RV end diastolic volume,AHNAK;Neuroblast differentiation-associated protein AHNAK,3353,-0.146331848914139,1.65047609636379e-17
Primary analysis,Right ventricle,RV end diastolic volume,CXCL17;C-X-C motif chemokine 17,4905,-0.121099694795568,1.73218134963139e-17
Primary analysis,Right ventricle,RV end systolic volume,HNMT;Histamine N-methyltransferase,4814,-0.122145576486044,1.82402605950407e-17
Primary analysis,Right ventricle,RV end diastolic volume,LGALS1;Galectin-1,4867,-0.121441740037782,1.87070010570689e-17
Primary analysis,Left ventricle,LV end diastolic volume,MOG;Myelin-oligodendrocyte glycoprotein,4888,-0.121153443169248,1.90395756622955e-17
Primary analysis,Left ventricle,LV stroke volume,AGRN;Agrin,4861,-0.12143097269902,1.96997811251327e-17
Primary analysis,Right atrium,RA stroke volume,RTN4R;Reticulon-4 receptor,4813,-0.121902475084298,2.12862270919927e-17
Primary analysis,Left ventricle,LV myocardial mass,IGFBP6;Insulin-like growth factor-binding protein 6,4837,-0.121473044385821,2.30086419966994e-17
Primary analysis,Right ventricle,RV stroke volume,COLEC12;Collectin-12,4836,-0.121331768245014,2.52464611561521e-17
Primary analysis,Right ventricle,RV end systolic volume,RBP5;Retinol-binding protein 5,4831,-0.121364694315549,2.5698178638284e-17
Primary analysis,Right ventricle,RV end systolic volume,TNFRSF1A;Tumor necrosis factor receptor superfamily member 1A,4842,-0.121056353502818,2.84959756604531e-17
Primary analysis,Left ventricle,LV myocardial mass,ADM;Pro-adrenomedullin,4889,-0.120308589086122,3.15536145920934e-17
Primary analysis,Left ventricle,LV stroke volume,NPPC;C-type natriuretic peptide,4852,-0.120705026546484,3.26811760059735e-17
Primary analysis,Left ventricle,LV end systolic volume,PLAT;Tissue-type plasminogen activator,4893,-0.120122444784938,3.42843936647295e-17
Primary analysis,Right atrium,RA maximum volume,SSC4D;Scavenger receptor cysteine-rich domain-containing group B protein,4785,-0.121430622062227,3.49177217421613e-17
Primary analysis,Left ventricle,LV end systolic volume,CLMP;CXADR-like membrane protein,4879,-0.120085491500038,3.88648033596042e-17
Primary analysis,Left ventricle,LV stroke volume,CLMP;CXADR-like membrane protein,4890,-0.119940911952204,3.9108033027583e-17
Primary analysis,Left ventricle,LV cardiac output,NPPC;C-type natriuretic peptide,4851,-0.120295549930806,4.21119188294307e-17
Primary analysis,Right ventricle,RV end diastolic volume,GSTA3;Glutathione S-transferase A3,4756,-0.121480350727759,4.21744155351754e-17
Primary analysis,Left ventricle,LV end diastolic volume,"KRT18;Keratin, type I cytoskeletal 18",4830,-0.120302151953823,4.89870108203396e-17
Primary analysis,Left ventricle,LV end diastolic volume,NPDC1;Neural proliferation differentiation and control protein 1,4865,-0.119867205413502,4.91145732744343e-17
Primary analysis,Right atrium,RA minimum volume,HGF;Hepatocyte growth factor,4813,-0.120308859751889,5.53233142615809e-17
Primary analysis,Left ventricle,LV end diastolic volume,PALM;Paralemmin-1,3395,-0.142807913835757,6.23173921757899e-17
Primary analysis,Right ventricle,RV end diastolic volume,F7;Coagulation factor VII,4856,-0.119524875388642,6.43767481720078e-17
Primary analysis,Left atrium,LA minimum volume,NPPB;Natriuretic peptides B,4655,0.122030408244009,6.55205418207397e-17
Primary analysis,Left ventricle,LV longitudinal strain Segment 2,ANGPT2;Angiopoietin-2,4757,0.120512575358238,7.42273061653846e-17
Primary analysis,Right atrium,RA maximum volume,NTproBNP;N-terminal prohormone of brain natriuretic peptide,4786,0.120088017134473,7.69690632879833e-17
Primary analysis,Right atrium,RA maximum volume,TNFRSF1A;Tumor necrosis factor receptor superfamily member 1A,4759,-0.120409200377435,7.77300599471843e-17
Primary analysis,Left ventricle,LV myocardial mass,TAFA5;Chemokine-like protein TAFA-5,4831,-0.119461568328599,8.02145946579034e-17
Primary analysis,Right ventricle,RV end diastolic volume,PGF;Placenta growth factor,4905,-0.118443894671085,8.61291036012836e-17
Primary analysis,Right ventricle,RV end diastolic volume,GGH;Gamma-glutamyl hydrolase,4756,-0.120075116008855,9.67309420475993e-17
Primary analysis,Ascending aorta,Ascending aorta maximum area,ADAMTS15;A disintegrin and metalloproteinase with thrombospondin motifs 15,4553,-0.122602958917044,1.02535607302322e-16
Primary analysis,Right ventricle,RV end diastolic volume,GDF15;Growth/differentiation factor 15,4917,-0.117993940352004,1.03414022157567e-16
Primary analysis,Right atrium,RA maximum volume,PON3;Serum paraoxonase/lactonase 3,4777,0.119671208520077,1.05123953193887e-16
Primary analysis,Left ventricle,LV end diastolic volume,CELSR2;Cadherin EGF LAG seven-pass G-type receptor 2,3375,-0.103620533846599,1.60121353650478e-09
Primary analysis,Right ventricle,RV stroke volume,TAFA5;Chemokine-like protein TAFA-5,4832,-0.118798972117361,1.17869040016326e-16
