cmr_category,cmr_trait,bmr_category,bmr_trait,n,beta,pvalue
Ascending aorta,Ascending aorta distensibility,Volume of global and regional brain,Volume of grey matter in Brain-Stem,27939,0.037861393,2.44e-10
Ascending aorta,Ascending aorta distensibility,Volume of global and regional brain,Volume of grey matter in Caudate (left),27730,-0.058169987,3.18e-22
Ascending aorta,Ascending aorta distensibility,Volume of global and regional brain,Volume of grey matter in Caudate (right),27717,-0.063445628,3.98e-26
Ascending aorta,Ascending aorta distensibility,Volume of global and regional brain,"Volume of grey matter in Middle Temporal Gyrus, anterior division (left)",27967,0.031814487,1.03e-07
Ascending aorta,Ascending aorta distensibility,Volume of global and regional brain,Volume of grey matter in Pallidum (right),27320,-0.03182695,1.43e-07
Ascending aorta,Ascending aorta distensibility,Volume of global and regional brain,Volume of grey matter in Planum Polare (right),27963,0.037263568,4.57e-10
Ascending aorta,Ascending aorta distensibility,Volume of global and regional brain,Volume of grey matter in Putamen (left),27931,-0.036017212,1.73e-09
Descending aorta,Descending aorta distensibility,Volume of white matter hyperintensity,Total volume of peri-ventricular white matter hyperintensities,26500,-0.109416603,2.23e-71
Descending aorta,Descending aorta distensibility,Volume of white matter hyperintensity,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),26210,-0.10556461,7.8e-66
Ascending aorta,Ascending aorta distensibility,Volume of white matter hyperintensity,Total volume of peri-ventricular white matter hyperintensities,26483,-0.104904684,1.09e-65
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in external capsule on FA skeleton (left),32070,0.139971109,5.25e-140
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in external capsule on FA skeleton (right),32056,0.134540493,2.36e-129
Left ventricle,LV myocardial mass,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),32145,0.131305041,1.39e-123
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in external capsule on FA skeleton (left),32045,0.128432466,6.46e-118
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in external capsule on FA skeleton (right),32033,0.125074976,7.62e-112
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in external capsule on FA skeleton (left),32071,0.12327246,8.39e-109
Left ventricle,LV myocardial mass,DTI dMRI,Mean L1 in external capsule on FA skeleton (right),32135,0.122635184,6.65e-108
Left ventricle,LV myocardial mass,NODDI dMRI,Mean ISOVF in superior corona radiata on FA skeleton (left),32172,0.122522211,7.91e-108
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (left),32162,0.122196149,3.15e-107
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in external capsule on FA skeleton (right),32062,0.122351189,3.6e-107
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (right),32015,0.121594058,1.04e-105
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),32120,0.121391427,1.06e-105
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (right),32159,0.121231886,1.5e-105
Left ventricle,LV myocardial mass,DTI dMRI,Mean L2 in external capsule on FA skeleton (right),32118,0.117321275,8.33e-99
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean MD in external capsule on FA skeleton (left),32042,0.117346742,1.28e-98
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (left),32137,0.116996681,2.53e-98
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),32117,0.116912463,4e-98
Left ventricle,LV myocardial mass,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (right),32131,0.116798662,5.61e-98
Left ventricle,LV myocardial mass,DTI dMRI,Mean L2 in external capsule on FA skeleton (left),32107,0.11608104,1.01e-96
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (right),32134,0.115891875,1.72e-96
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in external capsule on FA skeleton (right),32039,0.114719398,2.67e-94
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L2 in external capsule on FA skeleton (right),32093,0.114448376,5.13e-94
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract inferior fronto-occipital fasciculus (left),32170,0.114273703,5.92e-94
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (left),32161,0.114174127,9.11e-94
Left ventricle,LV myocardial mass,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (left),32098,0.114254547,1.02e-93
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean MD in external capsule on FA skeleton (right),32030,0.113527309,2.37e-92
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in external capsule on FA skeleton (left),32046,0.112854726,2.54e-91
Left ventricle,LV myocardial mass,NODDI dMRI,Mean ISOVF in external capsule on FA skeleton (left),31758,0.113216084,4.33e-91
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (left),32008,0.112566399,9.31e-91
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (left),32136,0.112295181,1.11e-90
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),32082,0.111901264,6.6e-90
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean MD in external capsule on FA skeleton (left),32041,0.111832595,1.1e-89
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L1 in external capsule on FA skeleton (right),32110,0.111503495,2.35e-89
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (left),32134,0.111080421,9.4e-89
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (right),32165,0.111008117,1.01e-88
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),32116,0.110579515,6.42e-88
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (right),31991,0.110578254,1.4e-87
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in external capsule on FA skeleton (left),32041,0.110434644,1.72e-87
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (right),32151,0.110158467,2.36e-87
Left ventricle,LV myocardial mass,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (left),32168,0.11009243,2.69e-87
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L3 in tract superior thalamic radiation (right),32163,0.109793389,8.12e-87
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (left),32109,0.109770708,1.22e-86
Left ventricle,LV myocardial mass,DTI dMRI,Mean L2 in superior corona radiata on FA skeleton (left),32128,0.109601822,1.99e-86
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (left),32172,0.109482262,2.34e-86
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (left),32149,0.109477278,2.74e-86
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract superior thalamic radiation (right),32150,0.109463306,2.86e-86
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (right),32128,0.109323432,5.38e-86
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L3 in tract superior thalamic radiation (left),32160,0.109153942,8.12e-86
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (right),32140,0.109090557,1.15e-85
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L2 in external capsule on FA skeleton (left),32082,0.109140769,1.36e-85
Left ventricle,LV myocardial mass,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (right),32167,0.108798591,2.76e-85
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (right),32085,0.108762692,5.11e-85
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (left),32170,0.108549904,6.54e-85
Left ventricle,LV myocardial mass,NODDI dMRI,Mean ISOVF in superior corona radiata on FA skeleton (right),32175,0.108377245,1.17e-84
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (right),32153,0.108402143,1.22e-84
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract superior thalamic radiation (left),32153,0.108373808,1.35e-84
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (right),32109,0.108281788,2.42e-84
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract inferior fronto-occipital fasciculus (right),32177,0.108111372,2.96e-84
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (right),32134,0.108003843,5.57e-84
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L2 in tract superior thalamic radiation (right),32169,0.107673169,1.45e-83
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (left),32116,0.107528719,3.28e-83
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right),32174,0.107340909,4.52e-83
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left),32170,0.107238211,6.63e-83
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (right),32128,0.107103806,1.35e-82
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (left),32147,0.106901871,2.45e-82
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (left),32141,0.106863186,2.9e-82
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (right),32060,0.106990145,2.98e-82
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean MD in tract inferior fronto-occipital fasciculus (left),32145,0.106802884,3.5e-82
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (right),32151,0.106727752,4.39e-82
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean MD in external capsule on FA skeleton (right),32029,0.106629874,1.24e-81
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),32057,0.106411295,2.26e-81
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in external capsule on FA skeleton (right),32029,0.106435748,2.43e-81
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L2 in tract superior thalamic radiation (left),32172,0.106028379,4.41e-81
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (right),32110,0.106061651,5.59e-81
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (left),32118,0.105842428,1.14e-80
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L2 in tract superior longitudinal fasciculus (left),32145,0.105539653,2.77e-80
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L2 in tract superior longitudinal fasciculus (right),32154,0.10538379,4.5e-80
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean MD in external capsule on FA skeleton (left),32042,0.105380301,8.53e-80
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L1 in external capsule on FA skeleton (right),32107,0.105080659,1.65e-79
Left ventricle,LV myocardial mass,NODDI dMRI,Weighted-mean ISOVF in tract superior thalamic radiation (left),32175,0.104688467,4.34e-79
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (left),32134,0.104560142,8.42e-79
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),32116,0.104583839,8.58e-79
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (left),32092,0.104434865,1.63e-78
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (right),32135,0.10429722,2.05e-78
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (right),32143,0.104270129,2.15e-78
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (left),32124,0.104273891,2.36e-78
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (right),32153,0.104214097,2.46e-78
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left),32145,0.104082771,4.02e-78
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean MD in external capsule on FA skeleton (left),32043,0.104090687,6.83e-78
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (right),32126,0.103892465,8.49e-78
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (right),32172,0.103771612,9.95e-78
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (left),32133,0.103825482,1.03e-77
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (right),32174,0.103642679,1.52e-77
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in cingulum cingulate gyrus on FA skeleton (right),32196,0.103511757,2.1e-77
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean MD in tract superior thalamic radiation (right),32125,0.10327152,6.93e-77
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (left),32123,0.103049484,1.48e-76
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in cingulum cingulate gyrus on FA skeleton (left),32197,0.102871666,1.81e-76
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (left),32098,0.102865681,3.13e-76
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (right),32131,0.10279231,3.35e-76
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (left),32143,0.102752157,3.6e-76
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),32118,0.102746455,4.19e-76
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (left),32133,0.102556126,7.3e-76
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (left),32152,0.102475761,8.64e-76
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (right),32130,0.102246821,2.08e-75
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (left),32132,0.102102112,3.33e-75
Left ventricle,LV myocardial mass,DTI dMRI,Mean L2 in superior corona radiata on FA skeleton (right),32146,0.101901555,6.03e-75
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (right),32130,0.101714239,1.22e-74
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean MD in tract superior thalamic radiation (left),32128,0.101525048,2.31e-74
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (left),32153,0.10146696,2.45e-74
Left ventricle,LV myocardial mass,NODDI dMRI,Weighted-mean ISOVF in tract superior longitudinal fasciculus (left),32158,0.101415928,2.83e-74
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (left),32142,0.101434987,2.89e-74
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (left),32145,0.101399481,3.2e-74
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean MD in external capsule on FA skeleton (right),32030,0.101470073,4.6e-74
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L2 in tract superior longitudinal fasciculus (left),32120,0.101253437,5.89e-74
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (right),31988,0.101416543,6.82e-74
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L3 in external capsule on FA skeleton (right),32036,0.101281208,8.3e-74
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),32117,0.100982954,1.46e-73
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L1 in external capsule on FA skeleton (right),32106,0.100581809,5.74e-73
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean MD in external capsule on FA skeleton (right),32031,0.100537594,9.73e-73
Left ventricle,LV myocardial mass,DTI dMRI,Mean L1 in anterior corona radiata on FA skeleton (left),32185,0.100288853,1e-72
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L2 in tract superior longitudinal fasciculus (right),32129,0.10032235,1.19e-72
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (left),32121,0.100266257,1.49e-72
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (right),32123,0.100222918,1.7e-72
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean MD in external capsule on FA skeleton (left),32036,0.100153998,3.31e-72
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L3 in external capsule on FA skeleton (left),32042,0.100116254,3.63e-72
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (right),32147,0.099762919,6.74e-72
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L2 in external capsule on FA skeleton (right),32090,0.099479569,2.25e-71
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (right),32118,0.09939565,2.56e-71
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L1 in tract superior longitudinal fasciculus (right),32151,0.09929049,3.06e-71
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (left),32133,0.099295272,3.29e-71
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (right),32125,0.099286197,3.53e-71
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (left),32127,0.099170832,5.07e-71
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (right),31987,0.099331858,6.04e-71
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L3 in external capsule on FA skeleton (left),32043,0.099243715,6.08e-71
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (left),32119,0.099106609,6.48e-71
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right),32149,0.099046065,6.8e-71
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (right),32136,0.099038643,7.42e-71
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (left),31983,0.099238354,8.33e-71
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (left),32106,0.098994291,9.93e-71
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),32111,0.098804047,1.79e-70
Left ventricle,LV myocardial mass,NODDI dMRI,Mean ISOVF in anterior corona radiata on FA skeleton (right),32166,0.098563999,2.95e-70
Left ventricle,LV myocardial mass,NODDI dMRI,Weighted-mean ISOVF in tract superior thalamic radiation (right),32175,0.098498319,3.48e-70
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean MD in tract inferior fronto-occipital fasciculus (right),32152,0.098476138,4.19e-70
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L3 in external capsule on FA skeleton (right),32035,0.098614432,4.77e-70
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (right),32123,0.098468857,4.94e-70
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (left),32132,0.098404254,5.81e-70
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L1 in tract uncinate fasciculus (right),32194,0.098134804,1.02e-69
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (left),32134,0.098121321,1.42e-69
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (right),32142,0.098069958,1.61e-69
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (right),32126,0.098053166,1.84e-69
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract uncinate fasciculus (right),32187,0.097901962,2.22e-69
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract cingulate gyrus part of cingulum (right),32189,0.097782427,3.22e-69
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract inferior longitudinal fasciculus (right),32180,0.097748564,3.74e-69
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L3 in tract superior thalamic radiation (right),32138,0.097760328,4.41e-69
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L2 in external capsule on FA skeleton (right),32089,0.097562638,1.05e-68
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean MD in external capsule on FA skeleton (right),32024,0.097583586,1.34e-68
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract cingulate gyrus part of cingulum (left),32189,0.097316572,1.41e-68
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Mean ICVF in external capsule on FA skeleton (left),32148,-0.097331691,1.64e-68
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (left),30415,0.099964052,2.16e-68
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (right),32144,0.097232013,2.29e-68
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean MD in external capsule on FA skeleton (left),32045,0.097336279,2.64e-68
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract inferior longitudinal fasciculus (left),32175,0.09708827,3.12e-68
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (right),32106,0.097117136,3.95e-68
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (right),32136,0.096920283,6.38e-68
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (left),32140,0.096831973,8.26e-68
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (left),32139,0.096790035,9.48e-68
